epoch,accuracy,val_accuracy
1,0.1917,0.1914
2,0.2186,0.218
4,0.2269,0.2352
5,0.2539,0.2172
7,0.2763,0.2539
8,0.3049,0.2711
9,0.3438,0.3352
11,0.3551,0.3406
12,0.3688,0.3164
13,0.3781,0.3242
14,0.3908,0.3523
15,0.4045,0.3844
16,0.4151,0.3234
17,0.436,0.4016
19,0.4457,0.4437
20,0.4511,0.4492
21,0.4606,0.4547
22,0.4661,0.4492
23,0.4763,0.4891
24,0.4857,0.5008
25,0.4923,0.5063
26,0.5005,0.518
27,0.5044,0.4828
28,0.515,0.5094
29,0.5215,0.4961
30,0.5293,0.5305
31,0.5436,0.5227
33,0.5519,0.4961
34,0.5578,0.5336
35,0.5743,0.5164
37,0.5789,0.5078
38,0.5908,0.5211
39,0.5978,0.568
40,0.6036,0.5203
41,0.611,0.5344
42,0.616,0.5125
43,0.6239,0.5578
44,0.6445,0.5891
47,0.6508,0.6086
49,0.6615,0.5305
50,0.6684,0.5656
51,0.6713,0.5641
52,0.6983,0.6344
56,0.7025,0.6156
57,0.7096,0.5992
58,0.7127,0.6227
59,0.7249,0.6281
61,0.7379,0.6406
63,0.74,0.6539
64,0.7453,0.6297
65,0.7524,0.6406
66,0.7572,0.6734
67,0.7616,0.6734
68,0.7665,0.6609
69,0.7681,0.65
70,0.773,0.6625
71,0.7788,0.6391
72,0.7824,0.6758
73,0.7866,0.6719
74,0.7904,0.682
75,0.7935,0.6914
76,0.7985,0.6875
77,0.8022,0.6867
78,0.8055,0.6805
79,0.8119,0.6852
80,0.8159,0.7008
81,0.8176,0.6914
82,0.822,0.6953
83,0.8254,0.7008
84,0.8292,0.6867
85,0.8345,0.7117
87,0.8367,0.675
88,0.8431,0.6906
89,0.8452,0.6984
90,0.8481,0.7125
91,0.8499,0.6852
92,0.8549,0.7086
93,0.8576,0.6891
94,0.861,0.7016
95,0.8603,0.6875
96,0.8662,0.6797
97,0.869,0.7125
98,0.8753,0.6922
101,0.8797,0.6914
102,0.8789,0.6938
103,0.8869,0.6867
105,0.8892,0.707
106,0.8934,0.682
107,0.898,0.6844
111,0.9096,0.675
114,0.9096,0.6914
116,0.913,0.6859
118,0.9148,0.6953
120,0.9187,0.7078
121,0.9188,0.7094
122,0.9236,0.7305
123,0.9246,0.6992
124,0.9243,0.7242
125,0.9279,0.718
126,0.9322,0.6992
128,0.9346,0.6836
129,0.9337,0.7039
131,0.9346,0.7055
132,0.9371,0.7188
135,0.9394,0.7242
136,0.9417,0.718
137,0.9436,0.7273
138,0.9427,0.6977
139,0.9473,0.7344
141,0.9482,0.7195
144,0.9479,0.718
145,0.9492,0.7305
146,0.951,0.7148
147,0.9518,0.7195
148,0.9528,0.7227
149,0.952,0.7219
150,0.9498,0.7219
151,0.951,0.7391
