epoch,accuracy,val_accuracy
1,0.0283,0.025
2,0.0302,0.0312
3,0.0315,0.025
4,0.0326,0.0312
5,0.034,0.0188
6,0.037,0.0188
7,0.0356,0.0375
8,0.037,0.0312
9,0.0402,0.0437
10,0.0408,0.0375
11,0.0481,0.0375
12,0.0427,0.0625
13,0.0459,0.0375
14,0.05,0.0312
15,0.0457,0.0562
16,0.0495,0.0562
17,0.0489,0.05
18,0.0495,0.0538
19,0.0538,0.0375
20,0.0576,0.0562
21,0.0609,0.05
22,0.0611,0.0625
23,0.0595,0.0188
24,0.0652,0.05
25,0.0655,0.0188
26,0.0696,0.0437
27,0.0671,0.0562
28,0.0766,0.0562
29,0.0799,0.0375
30,0.0845,0.05
31,0.0875,0.0625
32,0.0864,0.0688
33,0.0853,0.05
34,0.0927,0.05
35,0.088,0.0562
36,0.0938,0.0688
37,0.1,0.075
38,0.0981,0.0562
39,0.1005,0.0688
40,0.1043,0.075
41,0.1082,0.0812
42,0.1068,0.0812
43,0.1022,0.1
44,0.1076,0.075
45,0.1152,0.1063
46,0.1117,0.0812
47,0.1177,0.0625
48,0.1177,0.1125
49,0.1226,0.0688
50,0.1155,0.075
51,0.1231,0.1063
52,0.1272,0.0875
53,0.1266,0.0812
54,0.1312,0.0625
55,0.1264,0.1063
56,0.1337,0.1187
57,0.134,0.1125
58,0.137,0.075
59,0.1291,0.1
60,0.137,0.0688
61,0.1372,0.1625
62,0.1497,0.125
63,0.147,0.125
64,0.1416,0.1063
65,0.1465,0.1187
66,0.1481,0.1437
67,0.153,0.0938
68,0.1552,0.1562
69,0.1595,0.125
70,0.1611,0.1562
71,0.1606,0.0938
72,0.1562,0.15
73,0.1685,0.1437
74,0.169,0.1437
75,0.1704,0.1375
76,0.1796,0.1063
77,0.1793,0.1187
78,0.1818,0.1688
79,0.1823,0.1125
80,0.1758,0.1312
81,0.1829,0.175
82,0.1834,0.1312
83,0.2014,0.1437
84,0.1864,0.1437
85,0.1916,0.1063
86,0.1976,0.15
87,0.2014,0.1688
88,0.1959,0.1437
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
