epoch,accuracy,val_accuracy
1,0.1841,0.2234
2,0.2208,0.2047
3,0.2614,0.2555
4,0.3281,0.3336
7,0.3495,0.3117
8,0.3672,0.3688
9,0.3924,0.3625
10,0.4125,0.3859
11,0.4313,0.3898
12,0.4471,0.4398
19,0.5515,0.5375
20,0.5615,0.5547
21,0.5793,0.5594
22,0.5883,0.5773
23,0.6006,0.5766
24,0.6133,0.5859
25,0.6217,0.5797
26,0.6321,0.6234
27,0.6432,0.5719
28,0.6513,0.5859
29,0.6614,0.6055
30,0.6699,0.6266
31,0.6797,0.643
32,0.6875,0.6008
33,0.6953,0.6219
34,0.7026,0.6344
35,0.7097,0.6297
36,0.7174,0.6484
37,0.724,0.6516
38,0.7304,0.6812
39,0.7386,0.6594
40,0.7443,0.6562
41,0.75,0.6562
42,0.7555,0.6836
43,0.7622,0.6523
44,0.7674,0.6875
45,0.7752,0.7016
46,0.7797,0.6898
47,0.7837,0.6992
48,0.7877,0.6859
49,0.7956,0.6883
50,0.8016,0.7094
51,0.8024,0.7164
52,0.809,0.6961
53,0.8135,0.7336
54,0.8193,0.7211
55,0.8217,0.7164
56,0.8252,0.7117
57,0.8305,0.732
58,0.8347,0.7234
59,0.8373,0.7258
60,0.8406,0.7484
61,0.8458,0.7422
62,0.8486,0.7242
63,0.8537,0.7461
64,0.858,0.7219
65,0.858,0.725
66,0.8635,0.7266
67,0.8681,0.757
68,0.8701,0.7234
69,0.8731,0.7242
70,0.8754,0.743
71,0.8783,0.7461
72,0.8814,0.7555
73,0.8853,0.7367
74,0.8881,0.757
75,0.892,0.7312
76,0.8919,0.7547
77,0.8955,0.732
78,0.8973,0.7328
79,0.9024,0.7461
80,0.9017,0.7289
81,0.9039,0.7672
82,0.9092,0.7492
83,0.9118,0.7625
84,0.9131,0.7703
85,0.9162,0.7453
86,0.9155,0.7594
87,0.9225,0.7531
88,0.9228,0.7617
89,0.9246,0.7656
90,0.9277,0.7641
91,0.926,0.7477
92,0.93,0.7578
93,0.9313,0.7664
94,0.9323,0.743
95,0.9349,0.7492
96,0.9373,0.7312
97,0.938,0.7312
98,0.9413,0.7773
99,0.9409,0.7398
100,0.9426,0.7539
101,0.9457,0.7727
102,0.9451,0.7406
103,0.949,0.7602
104,0.947,0.7453
105,0.9484,0.7609
106,0.951,0.7773
107,0.9501,0.7656
108,0.9534,0.7656
109,0.9533,0.7477
110,0.9563,0.7586
111,0.9552,0.7453
112,0.955,0.7492
113,0.9512,0.757
114,0.9556,0.7719
115,0.9593,0.7508
116,0.9588,0.7742
117,0.9587,0.7391
118,0.9601,0.75
119,0.9628,0.7414
120,0.9639,0.7625
121,0.9652,0.7742
122,0.9646,0.7398
123,0.9655,0.7617
124,0.9675,0.7711
125,0.9662,0.7555
126,0.966,0.7398
127,0.9676,0.7484
128,0.9695,0.7719
129,0.971,0.7758
130,0.9706,0.7695
131,0.9715,0.7422
132,0.9729,0.7836
133,0.9723,0.7695
134,0.973,0.7812
135,0.9729,0.7742
136,0.9736,0.757
137,0.9748,0.7617
138,0.9734,0.7539
139,0.9736,0.7578
140,0.9757,0.7688
141,0.9747,0.7625
142,0.975,0.7695
143,0.9781,0.7477
144,0.9772,0.7758
145,0.9781,0.7609
146,0.9783,0.7797
147,0.9788,0.782
148,0.98,0.7781
149,0.9775,0.7758
150,0.9772,0.775
151,0.9777,0.7609
152,0.9799,0.7922
153,0.9789,0.7625
154,0.9805,0.7688
155,0.9825,0.775
156,0.9792,0.7852
157,0.9791,0.7719
158,0.9822,0.7984
159,0.9815,0.7734
160,0.9805,0.7602
161,0.9829,0.7703
162,0.9832,0.7891
163,0.9835,0.7844
164,0.9821,0.7781
165,0.9815,0.782
