epoch,accuracy,val_accuracy
1,0.0299,0.0188
2,0.0408,0.0188
3,0.0418,0.0562
4,0.0446,0.05
5,0.0478,0.0562
6,0.0495,0.0688
7,0.0568,0.0375
8,0.0568,0.0562
9,0.0576,0.025
10,0.0557,0.05
11,0.0611,0.0375
12,0.0579,0.0688
13,0.0658,0.0688
14,0.0606,0.0312
15,0.0644,0.0375
16,0.0598,0.0437
17,0.0747,0.075
18,0.0698,0.05
19,0.0728,0.0562
20,0.0777,0.05
21,0.0764,0.0562
22,0.0818,0.0688
23,0.081,0.0562
24,0.0908,0.0875
25,0.0878,0.0688
26,0.0894,0.0688
27,0.0872,0.075
28,0.0989,0.075
29,0.0935,0.0625
30,0.0918,0.0562
31,0.1024,0.0625
32,0.1027,0.0938
33,0.1035,0.0625
34,0.1035,0.1
35,0.113,0.0688
36,0.1128,0.0938
37,0.1163,0.1125
38,0.1163,0.0812
39,0.1239,0.1
40,0.1258,0.1
41,0.1261,0.1063
42,0.144,0.0875
43,0.1318,0.1063
44,0.1435,0.1125
45,0.1413,0.0938
46,0.1386,0.1375
47,0.1484,0.0875
48,0.1511,0.125
49,0.1451,0.0812
50,0.1582,0.0688
51,0.1625,0.0688
52,0.1693,0.0938
53,0.163,0.1375
54,0.1655,0.0625
55,0.1677,0.1312
56,0.1715,0.125
57,0.1707,0.1125
58,0.1802,0.1
59,0.1742,0.1437
60,0.1815,0.1125
61,0.1889,0.1312
62,0.1927,0.1187
63,0.1951,0.1312
64,0.188,0.1187
65,0.2082,0.1125
66,0.1992,0.1187
67,0.1929,0.1437
68,0.2035,0.1125
69,0.2147,0.1125
70,0.2046,0.1437
71,0.2185,0.1375
72,0.2125,0.1125
73,0.2185,0.1312
74,0.2207,0.15
75,0.2272,0.1375
76,0.2361,0.15
77,0.2326,0.175
78,0.2288,0.1375
79,0.2383,0.1562
80,0.2375,0.1437
81,0.2467,0.1375
82,0.2448,0.1688
83,0.2582,0.1625
84,0.2565,0.1875
85,0.262,0.1625
86,0.2587,0.2
87,0.2671,0.125
88,0.2745,0.1688
89,0.2834,0.1437
90,0.2701,0.175
91,0.2834,0.1312
92,0.2905,0.1937
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
